date,nav
2018-02-16,39.2446
2018-02-15,39.6088
2018-02-14,39.7642
2018-02-12,39.8712
2018-02-09,39.3579
2018-02-08,39.6009
2018-02-07,39.2032
2018-02-06,38.8107
2018-02-05,39.3746
2018-02-02,39.9288
2018-02-01,41.2154
2018-01-31,40.9493
2018-01-30,41.1938
2018-01-29,41.5733
2018-01-25,41.8959
2018-01-24,42.2892
2018-01-23,42.2995
2018-01-22,42.3873
2018-01-19,42.2648
2018-01-18,41.9187
2018-01-17,42.2457
2018-01-16,42.1585
2018-01-15,42.8399
2018-01-12,42.8224
2018-01-11,42.7886
2018-01-10,42.8231
2018-01-09,42.8707
2018-01-08,42.9371
2018-01-05,42.7928
2018-01-04,42.4704
2018-01-03,42.2957
2018-01-02,42.238
2018-01-01,42.4541
2017-12-29,42.5615
2017-12-28,42.2919
2017-12-27,42.1924
2017-12-26,42.3132
2017-12-22,42.0275
2017-12-21,41.737
2017-12-20,41.5896
2017-12-19,41.4035
2017-12-18,40.9645
2017-12-15,40.564
2017-12-14,40.0748
2017-12-13,40.2287
2017-12-12,40.6158
2017-12-11,40.7911
2017-12-08,40.7337
2017-12-07,40.3953
2017-12-06,39.9186
2017-12-05,40.0767
2017-12-04,40.0494
2017-12-01,40.1852
2017-11-30,40.4889
2017-11-29,40.4328
2017-11-28,40.438
2017-11-27,40.3252
2017-11-24,40.2199
2017-11-23,40.1427
2017-11-22,39.8684
2017-11-21,39.9169
2017-11-20,39.8266
2017-11-17,39.7045
2017-11-16,39.5609
2017-11-15,39.2516
2017-11-14,39.5864
2017-11-13,39.8571
2017-11-10,39.985
2017-11-09,39.8651
2017-11-08,39.8048
2017-11-07,39.9144
2017-11-06,40.227
2017-11-03,40.3671
2017-11-02,40.2859
2017-11-01,40.2613
2017-10-31,40.2622
2017-10-30,40.214
2017-10-27,39.9167
2017-10-26,39.5898
2017-10-25,39.6545
2017-10-24,39.982
2017-10-23,39.959
2017-10-18,39.8095
2017-10-17,39.9061
2017-10-16,39.7451
2017-10-13,39.6798
2017-10-12,39.5329
2017-10-11,39.1
2017-10-10,39.2664
2017-10-09,39.0888
2017-10-06,38.9883
2017-10-05,38.7447
2017-10-04,38.5632
2017-10-03,38.4292
2017-09-29,38.2574
2017-09-28,37.9733
2017-09-27,37.6481
2017-09-26,38.2004
2017-09-25,38.1005
2017-09-22,38.6793
2017-09-21,39.3931
2017-09-20,39.4387
2017-09-19,39.6336
2017-09-18,39.5818
2017-09-15,39.3629
2017-09-14,39.3482
2017-09-13,39.1794
2017-09-12,39.4172
2017-09-11,39.1487
2017-09-08,38.9494
2017-09-07,38.9695
2017-09-06,38.7926
2017-09-05,38.8245
2017-09-04,38.6921
2017-09-01,38.8599
2017-08-31,38.4751
2017-08-30,38.1555
2017-08-29,37.8921
2017-08-28,38.2641
2017-08-24,37.9216
2017-08-23,37.846
2017-08-22,37.5353
2017-08-21,37.8594
2017-08-18,38.1582
2017-08-17,38.3485
2017-08-16,38.2121
2017-08-14,37.8473
2017-08-11,37.1991
2017-08-10,37.1241
2017-08-09,37.9458
2017-08-08,38.6681
2017-08-07,38.9102
2017-08-04,38.6123
2017-08-03,38.5558
2017-08-02,38.7942
2017-08-01,38.8346
2017-07-31,38.816
2017-07-28,38.6513
2017-07-27,38.5827
2017-07-26,38.639
2017-07-25,38.5854
2017-07-24,38.5208
2017-07-21,38.4569
2017-07-20,38.4821
2017-07-19,38.6575
2017-07-18,38.3101
2017-07-17,38.485
2017-07-14,38.4561
2017-07-13,38.6226
2017-07-12,38.3802
2017-07-11,38.3009
2017-07-10,38.3063
2017-07-07,38.0031
2017-07-06,38.0967
2017-07-05,38.0257
2017-07-04,37.8533
2017-07-03,37.8445
2017-06-30,37.5987
2017-06-29,37.3794
2017-06-28,37.0841
2017-06-27,37.1396
2017-06-23,37.6561
2017-06-22,37.8894
2017-06-21,37.9431
2017-06-20,37.9111
2017-06-19,37.9914
2017-06-16,37.9618
2017-06-15,37.8544
2017-06-14,38.0385
2017-06-13,37.9318
2017-06-12,37.9331
2017-06-09,38.0342
2017-06-08,38.0152
2017-06-07,37.8016
2017-06-06,37.5006
2017-06-05,37.6648
2017-06-02,37.5214
2017-06-01,37.3932
2017-05-31,37.2901
2017-05-30,36.9185
2017-05-29,36.8439
2017-05-26,37.3714
2017-05-25,37.0234
2017-05-24,36.3913
2017-05-23,36.7889
2017-05-22,37.3077
2017-05-19,37.5479
2017-05-18,37.811
2017-05-17,38.3007
2017-05-16,38.5197
2017-05-15,38.4083
2017-05-12,38.1432
2017-05-11,38.2199
2017-05-10,38.1521
2017-05-09,37.6703
2017-05-08,37.4554
2017-05-05,37.16
2017-05-04,37.435
2017-05-03,37.2447
2017-05-02,37.1916
2017-04-28,37.0755
2017-04-27,36.9266
2017-04-26,36.9372
2017-04-25,36.8677
2017-04-24,36.6252
2017-04-21,36.2827
2017-04-20,36.3879
2017-04-19,36.1955
2017-04-18,36.0151
2017-04-17,36.1871
2017-04-13,36.1652
2017-04-12,36.3301
2017-04-11,36.487
2017-04-10,36.1479
2017-04-07,35.985
2017-04-06,36.2152
2017-04-05,36.0932
2017-04-03,36.03
2017-03-31,35.9894
2017-03-30,35.6287
2017-03-29,35.3967
2017-03-28,35.2185
2017-03-27,35.0054
2017-03-24,35.0119
2017-03-23,35.0677
2017-03-22,34.8257
2017-03-21,35.1757
2017-03-20,35.1362
2017-03-17,35.0326
2017-03-16,34.9345
2017-03-15,34.5505
2017-03-14,34.3895
2017-03-10,33.9855
2017-03-09,33.9594
2017-03-08,33.9754
2017-03-07,34.0631
2017-03-06,34.1066
2017-03-03,33.8205
2017-03-02,33.8215
2017-03-01,34.1106
2017-02-28,33.8653
2017-02-27,33.6943
2017-02-23,33.7555
2017-02-22,33.7522
2017-02-21,33.9468
2017-02-20,33.8623
2017-02-17,33.6387
2017-02-16,33.5381
2017-02-15,33.2686
2017-02-14,33.6985
2017-02-13,33.8668
2017-02-10,33.8985
2017-02-09,33.7566
2017-02-08,33.7911
2017-02-07,33.8364
2017-02-06,33.8507
2017-02-03,33.6965
2017-02-02,33.3917
2017-02-01,33.2689
2017-01-31,32.7323
2017-01-30,32.9931
2017-01-27,33.0232
2017-01-25,32.7345
2017-01-24,32.4915
2017-01-23,32.2185
2017-01-20,32.0034
2017-01-19,32.3151
2017-01-18,32.2966
2017-01-17,32.2062
2017-01-16,32.2315
2017-01-13,32.2717
2017-01-12,32.29
2017-01-11,32.3471
2017-01-10,32.1053
2017-01-09,31.9488
2017-01-06,31.7516
2017-01-05,31.7993
2017-01-04,31.6311
2017-01-03,31.459
2017-01-02,31.3159
2016-12-30,31.2147
2016-12-29,30.9879
2016-12-28,30.8663
2016-12-27,30.76
2016-12-26,30.5189
2016-12-23,30.8609
2016-12-22,30.9001
2016-12-21,31.1749
2016-12-20,31.2418
2016-12-19,31.4347
2016-12-16,31.5943
2016-12-15,31.5458
2016-12-14,31.5924
2016-12-13,31.712
2016-12-12,31.7307
2016-12-09,31.9489
2016-12-08,31.8743
2016-12-07,31.462
2016-12-06,31.6229
2016-12-05,31.5496
2016-12-02,31.3883
2016-12-01,31.7846
2016-11-30,32.014
2016-11-29,31.8382
2016-11-28,31.4877
2016-11-25,31.3967
2016-11-24,30.9364
2016-11-23,31.0583
2016-11-22,30.6926
2016-11-21,30.4147
2016-11-18,30.9554
2016-11-17,30.8011
2016-11-16,30.8889
2016-11-15,30.7565
2016-11-11,31.8132
2016-11-10,32.8955
2016-11-09,32.5163
2016-11-08,32.8721
2016-11-07,32.799
2016-11-04,32.4895
2016-11-03,32.8509
2016-11-02,33.1149
2016-11-01,33.5013
2016-10-28,33.4453
2016-10-27,33.0517
2016-10-26,33.4965
2016-10-25,33.7485
2016-10-24,33.684
2016-10-21,33.5336
2016-10-20,33.4511
2016-10-19,33.363
2016-10-18,33.2163
2016-10-17,32.7369
2016-10-14,33.0104
2016-10-13,32.8678
2016-10-10,33.3313
2016-10-07,33.274
2016-10-06,33.3197
2016-10-05,33.5264
2016-10-04,33.356
2016-10-03,33.2801
2016-09-30,32.5794
2016-09-29,32.355
2016-09-28,33.2393
2016-09-27,33.102
2016-09-26,33.0777
2016-09-23,33.2672
2016-09-22,33.4181
2016-09-21,33.2114
2016-09-20,33.2002
2016-09-19,33.2891
2016-09-16,33.1578
2016-09-15,32.9397
2016-09-14,32.8341
2016-09-12,32.7992
2016-09-09,33.3095
2016-09-08,33.3934
2016-09-07,33.2634
2016-09-06,33.3415
2016-09-02,33.1695
2016-09-01,33.0042
2016-08-31,33.135
2016-08-30,32.9228
2016-08-29,32.557
2016-08-26,32.4975
2016-08-25,32.654
2016-08-24,32.8643
2016-08-23,32.6504
2016-08-22,32.6956
2016-08-19,32.9618
2016-08-18,32.8692
2016-08-17,32.5357
2016-08-16,32.4295
2016-08-12,32.2888
2016-08-11,32.2933
2016-08-10,32.31
2016-08-09,32.5716
2016-08-08,32.6661
2016-08-05,32.4365
2016-08-04,31.9381
2016-08-03,31.8439
2016-08-02,32.1447
2016-08-01,31.8294
2016-07-29,31.8824
2016-07-28,31.4618
2016-07-27,31.1859
2016-07-26,31.0725
2016-07-25,31.1673
2016-07-22,30.9657
2016-07-21,30.8464
2016-07-20,30.8522
2016-07-19,30.7393
2016-07-18,30.8421
2016-07-15,30.939
2016-07-14,31.1953
2016-07-13,31.0488
2016-07-12,31.2343
2016-07-11,31.1997
2016-07-08,30.8425
2016-07-07,30.7595
2016-07-05,30.8174
2016-07-04,30.8609
2016-07-01,30.6562
2016-06-30,30.4105
2016-06-29,30.1524
2016-06-28,29.9398
2016-06-27,29.7652
2016-06-24,29.5278
2016-06-23,29.8463
2016-06-22,29.7172
2016-06-21,29.7024
2016-06-20,29.6732
2016-06-17,29.5605
2016-06-16,29.5836
2016-06-15,29.775
2016-06-14,29.5152
2016-06-13,29.4492
2016-06-10,29.5391
2016-06-09,29.7176
